"Month,Value,Difference"
"2004-01-01,6943.0,0.0"
"2004-02-01,7068.0,125.0"
"2004-03-01,7633.8,565.8000000000002"
"2004-04-01,7919.78,285.97999999999956"
"2004-05-01,8129.32,209.53999999999996"
"2004-06-01,8894.38,765.0599999999995"
"2004-07-01,9724.94,830.5600000000013"
"2004-08-01,11146.83,1421.8899999999994"
"2004-09-01,12209.83,1063.0"
"2004-10-01,12062.21,-147.6200000000008"
"2004-11-01,10674.05,-1388.1599999999999"
"2004-12-01,9879.39,-794.6599999999999"
"2005-01-01,9714.78,-164.60999999999876"
"2005-02-01,10039.74,324.9599999999991"
"2005-03-01,10947.33,907.5900000000001"
"2005-04-01,11892.08,944.75"
"2005-05-01,12942.76,1050.6800000000003"
"2005-06-01,13119.36,176.60000000000036"
"2005-07-01,12991.56,-127.80000000000109"
"2005-08-01,13540.57,549.0100000000002"
"2005-09-01,14410.65,870.0799999999999"
"2005-10-01,14218.18,-192.46999999999935"
"2005-11-01,14891.32,673.1399999999994"
"2005-12-01,19473.27,4581.950000000001"
"2006-01-01,19390.58,-82.68999999999869"
"2006-02-01,18582.43,-808.1500000000015"
"2006-03-01,18300.49,-281.9399999999987"
"2006-04-01,17290.67,-1009.8200000000033"
"2006-05-01,17280.37,-10.299999999999272"
"2006-06-01,17788.76,508.3899999999994"
"2006-07-01,17675.27,-113.48999999999796"
"2006-08-01,18130.01,454.73999999999796"
"2006-09-01,18727.03,597.0200000000004"
"2006-10-01,19166.04,439.01000000000204"
"2006-11-01,19477.98,311.9399999999987"
"2006-12-01,21133.06,1655.0800000000017"
"2007-01-01,22358.1,1225.0399999999972"
"2007-02-01,22388.46,30.360000000000582"
"2007-03-01,22862.42,473.9599999999991"
"2007-04-01,22991.53,129.11000000000058"
"2007-05-01,23501.11,509.58000000000175"
"2007-06-01,24707.56,1206.4500000000007"
"2007-07-01,25914.46,1206.8999999999978"
"2007-08-01,27375.39,1460.9300000000003"
"2007-09-01,28900.82,1525.4300000000003"
"2007-10-01,30665.49,1764.670000000002"
"2007-11-01,31725.57,1060.079999999998"
"2007-12-01,32878.49,1152.9199999999983"
"2008-01-01,32479.06,-399.42999999999665"
"2008-02-01,31841.58,-637.4799999999996"
"2008-03-01,32543.43,701.8499999999985"
"2008-04-01,33231.43,688.0"
"2008-05-01,33454.78,223.34999999999854"
"2008-06-01,34226.72,771.9400000000023"
"2008-07-01,35451.96,1225.239999999998"
"2008-08-01,37916.54,2464.5800000000017"
"2008-09-01,38046.87,130.33000000000175"
"2008-10-01,37530.21,-516.6600000000035"
